[6/19/22 01:37AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 04:11PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 04:28PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 04:31PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 04:45PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 04:46PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 05:07PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 05:08PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 05:08PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 05:10PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 05:17PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 05:17PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 05:30PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 05:32PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 05:35PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 05:35PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 05:37PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 05:44PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 05:51PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 05:54PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 05:59PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 06:02PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 06:02PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 06:03PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 06:04PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 06:33PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 06:39PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 07:03PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 07:04PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 07:06PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 07:09PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 07:10PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 07:11PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 07:16PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 07:19PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 07:25PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 07:25PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 07:28PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 07:29PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 08:01PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 08:01PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 08:03PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 08:03PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 01:22AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 01:27AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 02:30AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 02:30AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 02:30AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 02:33AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 02:35AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 02:36AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 02:45AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 02:46AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 02:46AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 02:52AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 02:52AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 02:53AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 02:53AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:00AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:01AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:03AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:03AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:14AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:15AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:15AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:15AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:17AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:17AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:18AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:19AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:24AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:24AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:27AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:27AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:28AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:30AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:33AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:35AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:35AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:36AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:38AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:39AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:40AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:41AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:43AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:44AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:44AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:45AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:45AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:45AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:45AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:47AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:48AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:48AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:49AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:49AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:50AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:50AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:51AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:52AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:15PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:16PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:16PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 03:44PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 04:00PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 04:03PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 04:03PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 04:05PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 04:06PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 04:06PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 04:20PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 04:21PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 04:22PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 04:23PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 04:23PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 04:24PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 04:38PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 04:39PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 04:41PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 04:41PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 04:41PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 04:51PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 04:52PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 05:23PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 05:24PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 05:27PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 05:28PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 05:35PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 05:36PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 06:11PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 06:19PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 06:48PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 07:02PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 07:40PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 08:22PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 10:46PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 10:47PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 10:48PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 10:50PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 10:53PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 10:53PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 10:54PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 10:55PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 11:37PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 11:53PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 11:56PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/13/22 11:57PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/14/22 12:10AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/14/22 12:14AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/14/22 12:17AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/14/22 12:17AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/14/22 12:17AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/14/22 12:19AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/14/22 12:21AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/14/22 12:29AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
